id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
17,2009-09-25,Pandorum,40000000,10330853,,,,,2009,Friday,September,10.330853,40.0,-29.669147,-74.17286750000002,25,9
18,2003-09-26,Duplex,40000000,9652000,,,,,2003,Friday,September,9.652,40.0,-30.348000000000006,-75.86999999999998,26,9
19,2013-08-16,Paranoia,40000000,7388654,"Drama,Thriller",tt1413495,106.0,0.6,2013,Friday,August,7.388653999999999,40.0,-32.611346000000005,-81.52836500000002,16,8
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,"Action,Drama",tt2631186,159.0,,2015,Friday,July,6.738,40.0,-33.262,-83.155,10,7
22,2018-03-09,The Hurricane Heist,40000000,6115824,"Action,Adventure,Crime",tt5360952,103.0,13.335,2018,Friday,March,6.115824,40.0,-33.884176000000004,-84.71043999999998,9,3
23,2002-01-04,Impostor,40000000,6114237,,,,,2002,Friday,January,6.114237,40.0,-33.885763,-84.7144075,4,1
24,2015-11-25,Victor Frankenstein,40000000,5775076,"Drama,Horror,Sci-Fi",tt1976009,110.0,9.061,2015,Wednesday,November,5.775076,40.0,-34.224924,-85.56231000000002,25,11
25,2002-11-27,Extreme Ops,40000000,4835968,,,,,2002,Wednesday,November,4.835968,40.0,-35.164032,-87.91008000000002,27,11
26,2001-04-06,Just Visiting,40000000,4777007,,,,,2001,Friday,April,4.777007,40.0,-35.222993,-88.05748249999998,6,4
27,2014-06-27,Snowpiercer,40000000,4563029,"Action,Drama,Sci-Fi",tt1706620,126.0,14.735,2014,Friday,June,4.563029,40.0,-35.436971,-88.5924275,27,6
28,2007-07-20,Sunshine,40000000,3688560,Drama,tt2083347,87.0,,2007,Friday,July,3.68856,40.0,-36.31144000000001,-90.7786,20,7
30,2016-11-11,Billy Lynnâs Long Halftime Walk,40000000,1738477,,,,,2016,Friday,November,1.738477,40.0,-38.261523,-95.65380749999998,11,11
32,2008-12-12,Delgo,40000000,915840,,,,,2008,Friday,December,0.91584,40.0,-39.08416,-97.7104,12,12
33,2007-09-07,The Hunting Party,40000000,876671,,,,,2007,Friday,September,0.8766709999999999,40.0,-39.123329,-97.8083225,7,9
34,2006-10-13,Alex Rider: Operation Stormbreaker,40000000,659210,,,,,2006,Friday,October,0.6592100000000001,40.0,-39.34079000000001,-98.351975,13,10
35,2009-11-20,Red Cliff,40000000,627047,,,,,2009,Friday,November,0.627047,40.0,-39.372953,-98.4323825,20,11
36,2004-09-24,The Last Shot,40000000,463730,Action,tt1754651,47.0,,2004,Friday,September,0.46373,40.0,-39.53627,-98.840675,24,9
37,2007-03-16,Nomad,40000000,79123,Drama,tt6111842,83.0,,2007,Friday,March,0.079123,40.0,-39.920877,-99.8021925,16,3
38,2013-04-16,Un monstre Ã Paris,40000000,0,,,,,2013,Tuesday,April,0.0,40.0,-40.0,-100.0,16,4
39,2019-06-21,Kursk,40000000,0,Drama,tt2392373,,,2019,Friday,June,0.0,40.0,-40.0,-100.0,21,6
40,2016-11-11,USS Indianapolis: Men of Courage,40000000,0,"Action,Drama,History",tt2032572,128.0,11.220999999999998,2016,Friday,November,0.0,40.0,-40.0,-100.0,11,11
41,2014-12-31,Dragon Nest Warriors' Dawn,40000000,0,,,,,2014,Wednesday,December,0.0,40.0,-40.0,-100.0,31,12
42,2018-12-31,The Crow,40000000,0,,,,,2018,Monday,December,0.0,40.0,-40.0,-100.0,31,12
43,2019-09-13,The Goldfinch,40000000,0,Drama,tt3864056,,,2019,Friday,September,0.0,40.0,-40.0,-100.0,13,9
44,2019-12-31,Down Under Cover,40000000,0,,,,,2019,Tuesday,December,0.0,40.0,-40.0,-100.0,31,12
45,2009-08-14,The Time Traveler's Wife,39000000,63414846,,,,,2009,Friday,August,63.414846,39.0,24.414846,62.60216923076921,14,8
47,2007-02-02,Because I Said So,39000000,42674040,,,,,2007,Friday,February,42.67404000000001,39.0,3.6740399999999984,9.420615384615381,2,2
48,2012-10-05,Frankenweenie,39000000,35287788,"Animation,Comedy,Family",tt1142977,87.0,14.627,2012,Friday,October,35.287788,39.0,-3.7122120000000014,-9.518492307692313,5,10
50,2005-09-30,Serenity,39000000,25514517,"Biography,Documentary,Drama",tt1913131,93.0,,2005,Friday,September,25.514517,39.0,-13.485482999999999,-34.57816153846153,30,9
51,2007-09-07,Shoot 'Em Up,39000000,12796824,,,,,2007,Friday,September,12.796824,39.0,-26.203176000000006,-67.18763076923075,7,9
52,2004-02-20,Against the Ropes,39000000,5881504,,,,,2004,Friday,February,5.8815040000000005,39.0,-33.118496,-84.91922051282052,20,2
53,2013-08-23,Yi dai zong shi,38600000,6594959,,,,,2013,Friday,August,6.5949589999999985,38.6,-32.005041,-82.9146139896373,23,8
54,2001-06-22,The Fast and the Furious,38000000,144512310,,,,1.784,2001,Friday,June,144.51231,38.0,106.51231000000001,280.29555263157897,22,6
55,2002-09-27,Sweet Home Alabama,38000000,127214072,,,,,2002,Friday,September,127.214072,38.0,89.214072,234.7738736842105,27,9
56,2009-07-24,The Ugly Truth,38000000,88915214,,,,,2009,Friday,July,88.915214,38.0,50.91521400000001,133.9874052631579,24,7
57,2002-08-07,Spy Kids 2: The Island of Lost Dreams,38000000,85846296,,,,,2002,Wednesday,August,85.846296,38.0,47.846296,125.91130526315789,7,8
59,2017-06-02,Captain Underpants: The First Epic Movie,38000000,73921000,"Action,Animation,Comedy",tt2091256,89.0,18.31,2017,Friday,June,73.921,38.0,35.92100000000001,94.52894736842107,2,6
60,2015-04-17,Paul Blart: Mall Cop 2,38000000,71091594,"Action,Comedy,Crime",tt3450650,94.0,15.940999999999999,2015,Friday,April,71.091594,38.0,33.091594,87.08314210526315,17,4
62,2016-12-23,Why Him?,38000000,60323786,Comedy,tt4501244,111.0,15.044,2016,Friday,December,60.323786,38.0,22.323786,58.7468052631579,23,12
63,2011-04-22,Water for Elephants,38000000,58709717,"Drama,Romance",tt1067583,120.0,6.209,2011,Friday,April,58.70971700000001,38.0,20.709717,54.49925526315789,22,4
64,2010-10-08,Life as We Know It,38000000,53374681,"Comedy,Drama,Romance",tt1055292,114.0,,2010,Friday,October,53.374681,38.0,15.374681000000002,40.45968684210528,8,10
66,2013-09-06,Riddick,38000000,42025135,"Action,Adventure,Sci-Fi",tt1411250,119.0,17.434,2013,Friday,September,42.025135,38.0,4.025134999999999,10.592460526315786,6,9
67,2001-03-23,Heartbreakers,38000000,40334024,,,,,2001,Friday,March,40.334024,38.0,2.3340239999999994,6.14216842105263,23,3
68,2002-05-24,Enough,38000000,39177215,"Drama,History",tt2926198,96.0,0.7190000000000001,2002,Friday,May,39.177215,38.0,1.1772149999999968,3.0979342105263075,24,5
